,y_pred,y_true
2025-10-01 00:00:00+02:00,112.1,102.6
2025-10-01 00:15:00+02:00,108.1,92.24
2025-10-01 00:30:00+02:00,99.6,86.03
2025-10-01 00:45:00+02:00,92.0,85.39
2025-10-01 01:00:00+02:00,108.1,89.99
2025-10-01 01:15:00+02:00,102.7,86.03
2025-10-01 01:30:00+02:00,97.0,85.03
2025-10-01 01:45:00+02:00,92.0,84.09
2025-10-01 02:00:00+02:00,103.0,85.41
2025-10-01 02:15:00+02:00,98.1,85.0
2025-10-01 02:30:00+02:00,97.4,84.54
2025-10-01 02:45:00+02:00,96.0,84.54
2025-10-01 03:00:00+02:00,98.1,87.39
2025-10-01 03:15:00+02:00,98.0,87.36
2025-10-01 03:30:00+02:00,99.4,88.56
2025-10-01 03:45:00+02:00,100.6,89.99
2025-10-01 04:00:00+02:00,93.6,86.31
2025-10-01 04:15:00+02:00,96.2,89.06
2025-10-01 04:30:00+02:00,102.2,86.42
2025-10-01 04:45:00+02:00,106.4,88.83
2025-10-01 05:00:00+02:00,97.4,84.26
2025-10-01 05:15:00+02:00,102.0,90.76
2025-10-01 05:30:00+02:00,113.8,97.55
2025-10-01 05:45:00+02:00,125.2,108.74
2025-10-01 06:00:00+02:00,112.4,97.03
2025-10-01 06:15:00+02:00,136.3,117.49
2025-10-01 06:30:00+02:00,159.9,133.23
2025-10-01 06:45:00+02:00,184.68,152.09
2025-10-01 07:00:00+02:00,194.96,160.95
2025-10-01 07:15:00+02:00,214.96,181.48
2025-10-01 07:30:00+02:00,326.64,180.23
2025-10-01 07:45:00+02:00,234.7,170.54
2025-10-01 08:00:00+02:00,214.1,200.25
2025-10-01 08:15:00+02:00,182.0,143.35
2025-10-01 08:30:00+02:00,157.01,117.5
2025-10-01 08:45:00+02:00,129.93,95.25
2025-10-01 09:00:00+02:00,180.0,139.48
2025-10-01 09:15:00+02:00,149.91,105.01
2025-10-01 09:30:00+02:00,119.95,93.66
2025-10-01 09:45:00+02:00,92.0,82.85
2025-10-01 10:00:00+02:00,154.98,103.22
2025-10-01 10:15:00+02:00,124.91,93.06
2025-10-01 10:30:00+02:00,95.6,81.21
2025-10-01 10:45:00+02:00,64.93,66.65
2025-10-01 11:00:00+02:00,149.92,83.5
2025-10-01 11:15:00+02:00,123.16,72.08
2025-10-01 11:30:00+02:00,94.98,65.32
2025-10-01 11:45:00+02:00,79.95,61.37
2025-10-01 12:00:00+02:00,75.1,68.21
2025-10-01 12:15:00+02:00,76.8,65.22
2025-10-01 12:30:00+02:00,64.75,65.45
2025-10-01 12:45:00+02:00,61.5,65.22
2025-10-01 13:00:00+02:00,60.08,65.6
2025-10-01 13:15:00+02:00,65.09,67.72
2025-10-01 13:30:00+02:00,73.34,69.44
2025-10-01 13:45:00+02:00,70.09,70.84
2025-10-01 14:00:00+02:00,79.8,64.49
2025-10-01 14:15:00+02:00,89.93,70.25
2025-10-01 14:30:00+02:00,99.96,74.63
2025-10-01 14:45:00+02:00,113.3,81.14
2025-10-01 15:00:00+02:00,74.9,65.3
2025-10-01 15:15:00+02:00,89.7,74.63
2025-10-01 15:30:00+02:00,114.95,88.02
2025-10-01 15:45:00+02:00,134.97,98.94
2025-10-01 16:00:00+02:00,59.22,62.15
2025-10-01 16:15:00+02:00,97.8,89.53
2025-10-01 16:30:00+02:00,129.2,103.08
2025-10-01 16:45:00+02:00,153.1,116.72
2025-10-01 17:00:00+02:00,75.03,85.49
2025-10-01 17:15:00+02:00,139.93,115.87
2025-10-01 17:30:00+02:00,176.0,144.98
2025-10-01 17:45:00+02:00,207.61,195.26
2025-10-01 18:00:00+02:00,206.0,146.95
2025-10-01 18:15:00+02:00,478.69,200.0
2025-10-01 18:30:00+02:00,272.4,285.0
2025-10-01 18:45:00+02:00,306.9,381.0
2025-10-01 19:00:00+02:00,499.0,408.5
2025-10-01 19:15:00+02:00,517.12,376.39
2025-10-01 19:30:00+02:00,517.12,321.94
2025-10-01 19:45:00+02:00,517.12,253.14
2025-10-01 20:00:00+02:00,237.3,218.02
2025-10-01 20:15:00+02:00,202.0,155.25
2025-10-01 20:30:00+02:00,184.8,126.82
2025-10-01 20:45:00+02:00,160.2,108.0
2025-10-01 21:00:00+02:00,170.0,130.68
2025-10-01 21:15:00+02:00,144.5,121.4
2025-10-01 21:30:00+02:00,127.4,102.98
2025-10-01 21:45:00+02:00,111.0,97.08
2025-10-01 22:00:00+02:00,140.8,108.84
2025-10-01 22:15:00+02:00,122.4,101.51
2025-10-01 22:30:00+02:00,110.0,95.36
2025-10-01 22:45:00+02:00,98.2,88.33
